H,Date,HE,MWh
D,5/1/2011,15,12269.9
D,5/1/2011,16,12246.02
D,5/1/2011,17,12427.59
D,5/1/2011,18,12752.6
D,5/1/2011,19,12939.14
D,5/1/2011,20,13291.54
D,5/1/2011,21,14028.23
D,5/1/2011,22,13280.15
D,5/1/2011,23,12028.88
D,5/1/2011,24,10848.96
D,5/2/2011,1,10187.08
D,5/2/2011,2,10168.5
D,5/2/2011,3,9969.28
D,5/2/2011,4,9965.34
D,5/2/2011,5,10267.69
D,5/2/2011,6,11103.94
D,5/2/2011,7,12496.31
D,5/2/2011,8,13806.94
D,5/2/2011,9,14270.38
D,5/2/2011,10,14589.77
D,5/2/2011,11,14834.65
D,5/2/2011,12,14940.38
D,5/2/2011,13,14927.1
D,5/2/2011,14,14915.37
D,5/2/2011,15,14765.47
D,5/2/2011,16,14609.1
D,5/2/2011,17,14563.47
D,5/2/2011,18,14621.28
D,5/2/2011,19,14685.56
D,5/2/2011,20,15004.86
D,5/2/2011,21,15251.4
D,5/2/2011,22,14267.35
D,5/2/2011,23,12985.36
D,5/2/2011,24,11559.72
D,5/3/2011,1,10930.54
D,5/3/2011,2,10729.14
D,5/3/2011,3,10645.97
D,5/3/2011,4,10629.84
D,5/3/2011,5,10704.64
D,5/3/2011,6,11341.96
D,5/3/2011,7,12520.33
D,5/3/2011,8,13784.18
D,5/3/2011,9,14341.55
D,5/3/2011,10,14637.43
D,5/3/2011,11,14936.41
D,5/3/2011,12,15119.87
D,5/3/2011,13,15170.93
D,5/3/2011,14,15261.44
D,5/3/2011,15,15099.43
D,5/3/2011,16,15000.42
D,5/3/2011,17,14966.45
D,5/3/2011,18,14922.88
D,5/3/2011,19,14794.34
D,5/3/2011,20,14985.73
D,5/3/2011,21,15326.24
D,5/3/2011,22,14400.88
D,5/3/2011,23,13053.14
D,5/3/2011,24,11947.21
D,5/4/2011,1,11588.2
D,5/4/2011,2,11080.68
D,5/4/2011,3,10810.5
D,5/4/2011,4,10743.89
D,5/4/2011,5,10975
D,5/4/2011,6,11799.61
D,5/4/2011,7,12764.5
D,5/4/2011,8,14136.13
D,5/4/2011,9,14729.24
D,5/4/2011,10,15037.1
D,5/4/2011,11,15283.86
D,5/4/2011,12,15406.07
D,5/4/2011,13,15389.69
D,5/4/2011,14,15372.56
D,5/4/2011,15,15190.3
D,5/4/2011,16,15118.54
D,5/4/2011,17,15190.72
D,5/4/2011,18,15345.97
D,5/4/2011,19,15262.42
D,5/4/2011,20,15233.29
D,5/4/2011,21,15236.66
D,5/4/2011,22,14309.87
D,5/4/2011,23,12831.61
D,5/4/2011,24,11476.61
D,5/5/2011,1,11029
D,5/5/2011,2,10849.22
D,5/5/2011,3,10618.6
D,5/5/2011,4,10542.78
D,5/5/2011,5,10733.3
D,5/5/2011,6,11405.28
D,5/5/2011,7,12642.2
D,5/5/2011,8,14011.78
D,5/5/2011,9,14433.74
D,5/5/2011,10,14648.94
D,5/5/2011,11,14847.85
D,5/5/2011,12,14859.12
D,5/5/2011,13,14744.68
D,5/5/2011,14,14692.1
D,5/5/2011,15,14524.12
D,5/5/2011,16,14378.53
D,5/5/2011,17,14366.79
D,5/5/2011,18,14405.53
D,5/5/2011,19,14343.32
D,5/5/2011,20,14494.28
D,5/5/2011,21,15027.64
D,5/5/2011,22,14302.07
D,5/5/2011,23,12880.57
D,5/5/2011,24,11529.09
D,5/6/2011,1,10781.93
D,5/6/2011,2,10607.52
D,5/6/2011,3,10512.72
D,5/6/2011,4,10555.3
D,5/6/2011,5,10406.09
D,5/6/2011,6,10965.91
D,5/6/2011,7,12599.85
D,5/6/2011,8,13890.94
D,5/6/2011,9,14329.29
D,5/6/2011,10,14570.33
D,5/6/2011,11,14751.35
D,5/6/2011,12,14773.55
D,5/6/2011,13,14686.21
D,5/6/2011,14,14648.99
D,5/6/2011,15,14493.19
D,5/6/2011,16,14314.8
D,5/6/2011,17,14123.89
D,5/6/2011,18,13988.42
D,5/6/2011,19,13763.53
D,5/6/2011,20,13849.09
D,5/6/2011,21,14358.94
D,5/6/2011,22,13762.81
D,5/6/2011,23,12598.31
D,5/6/2011,24,11347.78
D,5/7/2011,1,10367.74
D,5/7/2011,2,10072.24
D,5/7/2011,3,9792.3
D,5/7/2011,4,9660.48
D,5/7/2011,5,9697.64
D,5/7/2011,6,9959.93
D,5/7/2011,7,10434.49
D,5/7/2011,8,11274.14
